,año,sem,codigo,vales,zapatos,otras,fonac,alim,infon,falt,enf,ries,ISPT,ISPTA,IMSS,subs,t_per_g,t_per_e,t_per,t_ded,neto
145,2019,1,5396,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.39,38.26,871.38,158.48,1029.86,28.39,1001.47
146,2019,1,5704,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.75,0.0,37.09,0.0,1353.12,197.29,1550.41,60.84,1489.57
147,2019,1,7503,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.08,32.33,964.06,218.87,1182.93,26.08,1156.85
148,2019,1,7588,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.94,31.67,974.38,306.39,1280.77,28.94,1251.83
149,2019,1,7821,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.47,9.28,1117.04,306.82,1423.86,24.47,1399.39
150,2019,1,5588,1.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.45,31.67,974.38,306.39,1280.77,222.45,1058.32
151,2019,1,6203,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.64,4.12,1170.06,345.16,1515.22,26.64,1488.58
152,2019,1,6582,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.93,33.95,938.63,231.42,1170.05,21.93,1148.12
153,2019,1,7392,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.25,0.19,1206.13,313.53,1519.66,25.25,1494.41
154,2019,1,7226,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.27,9.28,1117.04,306.82,1423.86,32.27,1391.59
155,2019,1,7664,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.75,31.67,974.38,306.39,1280.77,27.75,1253.02
156,2019,1,7766,1.0,0.0,0.0,0.0,0.0,357.28,0.0,0.0,0.0,0.0,0.0,20.31,38.9,861.38,159.12,1020.5,378.59,641.91
157,2019,1,3326,1.0,0.0,0.0,0.0,0.0,352.72,0.0,0.0,0.0,57.36,0.0,43.82,0.0,1584.25,428.68,2012.93,454.9,1558.03
158,2019,1,449,1.0,0.0,250.0,0.0,0.0,386.21,0.0,0.0,0.0,166.48,0.0,34.8,0.0,2030.26,391.64,2421.9,838.49,1583.41
159,2019,1,6934,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.84,0.0,84.5,0.0,2999.45,460.71,3460.16,428.34,3031.82
160,2019,1,7770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.24,30.56,991.6,30.56,1022.16,26.24,995.92
161,2019,1,7137,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.6,0.0,35.89,0.0,1512.9,195.11,1708.01,86.49,1621.52
162,2019,1,6682,1.0,0.0,0.0,0.0,0.0,0.0,144.2,0.0,0.0,0.0,0.0,17.7,50.19,785.3,146.36,931.66,162.9,768.76
163,2019,1,1269,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.98,38.9,861.38,293.29,1154.67,20.98,1133.69
164,2019,1,6006,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8,38.9,861.38,159.12,1020.5,20.8,999.7
