,sem,codigo,vales,zapatos,otras,fonac,alim,infon,falt,enf,ries,ISPT,ISPTA,IMSS,subs,t_per_g,t_per_e,t_per,t_ded,neto
119,1,5549,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.11,36.85,893.47,223.34,1116.81,22.11,1094.7
120,1,7554,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.27,34.02,937.65,187.37,1125.02,21.27,1103.75
121,1,6349,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.26,38.26,871.38,212.15,1083.53,21.26,1062.27
122,1,7484,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.16,38.26,871.38,202.66,1074.04,21.16,1052.88
123,1,854,1.0,0.0,0.0,0.0,0.0,219.06,337.63,0.0,0.0,0.0,0.0,28.58,23.36,1295.77,242.86,1538.63,586.27,952.36
124,1,7314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,1,7295,1.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.74,0.0,21.3,0.0,1371.38,120.22,1491.6,95.04,1396.56
126,1,6832,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.58,38.26,871.38,158.48,1029.86,21.58,1008.28
127,1,7492,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.82,38.9,861.38,159.12,1020.5,30.82,989.68
128,1,4807,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.42,0.0,126.61,0.0,3540.55,528.43,4068.98,586.03,3482.95
129,1,6821,1.0,0.0,0.0,0.0,0.0,0.0,272.82,0.0,0.0,0.0,0.0,21.07,39.74,959.51,143.58,1103.09,294.89,808.2
130,1,3169,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.65,38.26,871.38,158.48,1029.86,22.65,1007.21
131,1,6944,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.98,10.96,1090.76,166.28,1257.04,27.98,1229.06
133,1,5902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,1,4514,1.0,0.0,0.0,0.0,0.0,318.08,0.0,0.0,0.0,0.0,0.0,30.05,3.22,1178.33,172.55,1350.88,349.13,1001.75
135,1,6014,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.75,6.4,1149.06,220.01,1369.07,26.75,1342.32
136,1,7356,1.0,0.0,0.0,0.0,0.0,0.0,123.7,0.0,0.0,0.0,0.0,17.98,49.59,775.85,156.8,932.65,142.68,789.97
137,1,6985,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.13,0.0,70.41,0.0,2253.06,802.86,3055.92,273.54,2782.38
138,1,6831,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.29,31.83,971.83,262.5,1234.33,21.29,1213.04
139,1,3827,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.61,29.29,1011.49,281.04,1292.53,24.61,1267.92
140,1,5412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,1,4504,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.22,0.0,58.69,0.0,2209.89,318.38,2528.27,254.91,2273.36
142,1,7395,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.53,38.26,871.38,202.66,1074.04,21.53,1052.51
143,1,214,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.25,0.0,129.66,0.0,3642.75,528.43,4171.18,610.91,3560.27
144,1,7376,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.74,0.0,23.43,0.0,1371.38,120.22,1491.6,49.17,1442.43
145,1,7212,1.0,0.0,0.0,0.0,0.0,335.65,0.0,0.0,0.0,24.74,0.0,20.8,0.0,1371.38,120.22,1491.6,382.19,1109.41
146,1,6321,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.82,32.12,967.31,195.51,1162.82,22.82,1140.0
147,1,5232,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.82,0.0,22.87,0.0,2088.63,221.0,2309.63,199.69,2109.94
148,1,4958,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.74,0.0,22.72,0.0,1371.38,120.22,1491.6,48.46,1443.14
149,1,3979,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.31,0.0,143.76,0.0,3240.39,499.26,3739.65,539.07,3200.58
150,1,442,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.93,0.0,31.74,0.0,1327.15,193.14,1520.29,52.67,1467.62
151,1,7330,1.0,0.0,0.0,0.0,0.0,0.0,0.0,545.64,0.0,0.0,0.0,12.01,32.91,903.35,87.31,990.66,558.65,432.01
152,1,7243,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.72,0.0,21.11,0.0,1325.27,219.62,1544.89,41.83,1503.06
