,año,sem,codigo,dias_pag,dias_lab,sueldo,comp,asist,transp,vales,te_dob,te_trip,desc_Lab,fest_lab,dominic,perc_grav,obj,aguin,vac,prim_vac,grat_esp,util
127,2019,1,6321,7.0,5.0,721.0,93.17,60.0,60.0,130.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.07,0.0,0.00
128,2019,1,5232,7.0,5.0,721.0,173.04,60.0,50.0,143.04,0.0,0.0,0.0,206.0,0.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.00
129,2019,1,4958,7.0,5.0,721.0,30.38,60.0,60.0,120.22,51.5,0.0,206.0,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00
130,2019,1,3979,7.0,5.0,2177.98,1067.22,60.0,60.0,519.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
131,2019,1,442,7.0,5.0,774.06,481.39,60.0,60.0,200.87,13.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
132,2019,1,7699,7.0,5.0,721.0,30.38,60.0,60.0,120.22,0.0,0.0,0.0,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00
133,2019,1,7330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
134,2019,1,7719,7.0,5.0,721.0,30.38,60.0,60.0,120.22,51.5,0.0,206.0,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00
135,2019,1,7841,3.0,2.0,241.02,10.15,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,40.18,0.0,0.0,0.0,0.0,0.0,0.00
136,2019,1,7421,7.0,5.0,721.0,30.38,60.0,60.0,120.22,231.75,502.12,128.75,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00
137,2019,1,7776,7.0,5.0,721.0,30.38,60.0,50.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
138,2019,1,7823,7.0,5.0,721.0,30.38,60.0,60.0,120.22,0.0,0.0,128.75,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00
139,2019,1,7298,7.0,5.0,955.99,413.77,60.0,50.0,219.16,204.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.92,0.0,0.00
140,2019,1,7758,7.0,5.0,721.0,30.38,60.0,60.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
141,2019,1,5396,7.0,5.0,721.0,30.38,60.0,60.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
142,2019,1,5704,7.0,5.0,878.01,355.11,60.0,60.0,197.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
143,2019,1,7503,7.0,5.0,721.0,123.06,60.0,60.0,135.04,0.0,0.0,0.0,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00
144,2019,1,7588,7.0,5.0,721.0,30.38,60.0,60.0,120.22,0.0,0.0,206.0,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00
145,2019,1,7821,7.0,5.0,721.0,173.04,60.0,60.0,143.04,0.0,0.0,206.0,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00
146,2019,1,5588,7.0,5.0,721.0,30.38,60.0,60.0,120.22,51.5,0.0,154.5,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00
147,2019,1,6203,7.0,5.0,721.0,123.06,60.0,60.0,135.04,206.0,0.0,0.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
148,2019,1,6582,7.0,5.0,721.0,30.38,60.0,50.0,120.22,154.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
149,2019,1,7392,7.0,5.0,721.0,30.38,60.0,60.0,120.22,77.25,193.12,206.0,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00
150,2019,1,7226,7.0,5.0,721.0,173.04,60.0,60.0,143.04,0.0,0.0,206.0,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00
151,2019,1,7664,7.0,5.0,721.0,30.38,60.0,60.0,120.22,0.0,0.0,206.0,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00
152,2019,1,7766,7.0,5.0,721.0,30.38,60.0,50.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
153,2019,1,3326,7.0,5.0,878.01,429.45,60.0,60.0,209.19,62.71,0.0,250.86,0.0,62.71,0.0,0.0,0.0,0.0,0.0,0.0,0.00
154,2019,1,449,7.0,5.0,721.0,117.39,60.0,60.0,134.14,206.0,115.87,0.0,206.0,51.5,750.0,0.0,0.0,0.0,0.0,0.0,0.00
155,2019,1,6934,7.0,5.0,2057.51,821.94,60.0,60.0,460.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
