codigo_x,prediction,actual,VEREDICTO,RECALL,
7551,1,1,OK,-,
6958,0,0,OK,-,
7295,1,1,OK,-,
3321,1,1,OK,-,
7604,1,0,MISS,-,
7312,1,0,MISS,-,
7914,1,1,OK,-,
6203,1,1,OK,-,
3676,1,1,OK,-,
6582,1,1,OK,-,
854,1,1,OK,-,
7754,1,1,OK,-,
7793,0,0,OK,-,
6356,0,0,OK,-,
7104,1,1,OK,-,
4314,1,1,OK,-,
7536,1,1,OK,-,
7729,0,0,OK,-,
4385,1,1,OK,-,
7312,0,1,MISS,FN,
4458,0,0,OK,-,
7693,1,0,MISS,-,
7996,1,1,OK,-,
7170,1,1,OK,-,
7904,1,0,MISS,-,
5704,1,0,MISS,-,
7943,1,1,OK,-,
7869,1,1,OK,-,
7596,0,0,OK,-,
7080,1,1,OK,-,
5704,1,1,OK,-,
7684,0,0,OK,-,
7655,1,1,OK,-,
5000,1,1,OK,-,
4514,1,1,OK,-,
7168,1,1,OK,-,
7057,1,0,MISS,-,
7080,1,1,OK,-,
7843,0,0,OK,-,
7754,1,1,OK,-,
6334,1,0,MISS,-,
6600,1,1,OK,-,
7913,1,0,MISS,-,
8066,1,1,OK,-,
5933,1,1,OK,-,
5506,0,0,OK,-,
7821,0,0,OK,-,
4775,1,1,OK,-,
5139,1,1,OK,-,
7814,1,1,OK,-,
5933,1,1,OK,-,
6955,1,0,MISS,-,
7080,1,1,OK,-,
5644,1,1,OK,-,
5588,1,1,OK,-,
6349,1,0,MISS,-,
7614,1,1,OK,-,
5000,1,1,OK,-,
7685,1,1,OK,-,
1123,1,1,OK,-,
7717,1,1,OK,-,
7634,1,0,MISS,-,
3318,1,1,OK,-,
6028,1,1,OK,-,
5558,1,1,OK,-,
7407,1,1,OK,-,
7330,1,1,OK,-,
7586,0,0,OK,-,
7295,1,1,OK,-,
7655,1,0,MISS,-,
8095,1,0,MISS,-,
854,1,1,OK,-,
3326,1,1,OK,-,
7614,1,1,OK,-,
7994,1,1,OK,-,
7618,1,1,OK,-,
2451,0,0,OK,-,
6832,1,1,OK,-,
5704,1,1,OK,-,
5280,1,1,OK,-,
7685,1,1,OK,-,
7679,0,0,OK,-,
8109,0,0,OK,-,
7012,0,0,OK,-,
7627,0,0,OK,-,
6877,1,1,OK,-,
7959,0,0,OK,-,
8097,0,0,OK,-,
6203,0,1,MISS,FN,
7430,1,0,MISS,-,
7649,1,0,MISS,-,
6206,1,1,OK,-,
7637,0,0,OK,-,
7338,1,1,OK,-,
8076,1,1,OK,-,
5933,1,1,OK,-,
849,1,1,OK,-,
5396,1,1,OK,-,
5679,1,0,MISS,-,
8017,0,0,OK,-,
7812,0,0,OK,-,
7642,0,0,OK,-,
7632,1,1,OK,-,
7712,1,0,MISS,-,
7640,0,0,OK,-,
5905,1,0,MISS,-,
366,1,1,OK,-,
6006,1,0,MISS,-,
7704,1,0,MISS,-,
7673,1,0,MISS,-,
7168,1,1,OK,-,
4775,1,1,OK,-,
449,1,1,OK,-,
7679,1,0,MISS,-,
5027,1,1,OK,-,
4314,1,1,OK,-,
5704,1,1,OK,-,
7664,1,1,OK,-,
8081,1,1,OK,-,
6985,0,0,OK,-,
7571,0,0,OK,-,
236,1,0,MISS,-,
7633,1,1,OK,-,
5549,1,1,OK,-,
6765,1,1,OK,-,
4807,1,1,OK,-,
7618,1,1,OK,-,
4514,1,1,OK,-,
5646,1,1,OK,-,
6885,1,1,OK,-,
449,1,1,OK,-,
849,1,1,OK,-,
7756,1,1,OK,-,
5646,1,1,OK,-,
6028,1,1,OK,-,
7170,1,1,OK,-,
7704,1,0,MISS,-,
5905,1,0,MISS,-,
3169,1,1,OK,-,
3827,1,1,OK,-,
6205,1,1,OK,-,
6203,1,1,OK,-,
7655,1,1,OK,-,
7551,1,1,OK,-,
7849,1,1,OK,-,
8008,0,0,OK,-,
6885,1,1,OK,-,
8075,1,0,MISS,-,
1123,1,1,OK,-,
7338,1,1,OK,-,
7694,1,1,OK,-,
5181,1,1,OK,-,
