,codigo_x,prediction,actual,veredict,recall,
425,7168,sigue,sigue,TP,-,
426,7786,fue,fue,TP,-,
427,4314,sigue,sigue,TP,-,
428,7843,sigue,fue,FP,FN,
429,7848,fue,sigue,FP,-,
430,7632,sigue,sigue,TP,-,
431,6504,fue,fue,TP,-,
432,7842,sigue,fue,FP,FN,
433,7801,fue,fue,TP,-,
434,7604,fue,fue,TP,-,
435,7061,fue,fue,TP,-,
436,7805,fue,fue,TP,-,
437,7847,fue,fue,TP,-,
438,7633,sigue,sigue,TP,-,
439,7428,sigue,fue,FP,FN,
440,2897,sigue,sigue,TP,-,
441,7558,sigue,fue,FP,FN,
442,6360,sigue,fue,FP,FN,
443,7614,sigue,sigue,TP,-,
444,3318,sigue,sigue,TP,-,
445,7706,sigue,fue,FP,FN,
446,7804,sigue,sigue,TP,-,
447,5139,sigue,fue,FP,FN,
448,6083,sigue,sigue,TP,-,
449,6766,sigue,sigue,TP,-,
450,4137,sigue,sigue,TP,-,
451,7542,sigue,sigue,TP,-,
452,7756,fue,fue,TP,-,
453,3780,sigue,sigue,TP,-,
454,6205,sigue,sigue,TP,-,
455,5027,sigue,sigue,TP,-,
456,7791,sigue,fue,FP,FN,
457,7818,sigue,sigue,TP,-,
458,7815,fue,sigue,FP,-,
459,6839,sigue,sigue,TP,-,
460,5646,sigue,sigue,TP,-,
461,7708,sigue,sigue,TP,-,
462,7852,fue,fue,TP,-,
463,7833,fue,fue,TP,-,
464,5679,sigue,fue,FP,FN,
465,7530,fue,sigue,FP,-,
466,6028,sigue,sigue,TP,-,
467,6565,sigue,sigue,TP,-,
468,7731,fue,fue,TP,-,
469,7753,sigue,fue,FP,FN,
470,3676,sigue,sigue,TP,-,
471,3221,sigue,sigue,TP,-,
472,7741,fue,fue,TP,-,
473,7779,sigue,sigue,TP,-,
474,7269,fue,fue,TP,-,
475,7844,fue,fue,TP,-,
476,7845,fue,sigue,FP,-,
477,2522,sigue,sigue,TP,-,
478,236,sigue,fue,FP,FN,
479,7080,sigue,sigue,TP,-,
480,5965,sigue,sigue,TP,-,
481,5447,sigue,sigue,TP,-,
482,6685,fue,sigue,FP,-,
483,5549,sigue,sigue,TP,-,
484,854,sigue,sigue,TP,-,
485,7295,fue,sigue,FP,-,
486,6832,sigue,fue,FP,FN,
487,4807,sigue,sigue,TP,-,
488,6821,sigue,fue,FP,FN,
489,7850,fue,fue,TP,-,
490,3169,sigue,sigue,TP,-,
491,4514,sigue,sigue,TP,-,
492,7814,sigue,sigue,TP,-,
493,7104,fue,fue,TP,-,
494,7754,fue,sigue,FP,-,
495,7717,sigue,fue,FP,FN,
496,6014,sigue,sigue,TP,-,
497,7775,sigue,fue,FP,FN,
498,7551,fue,fue,TP,-,
499,7715,fue,fue,TP,-,
500,3827,sigue,sigue,TP,-,
501,5412,sigue,sigue,TP,-,
